age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,income
90.00,?,HS-grad,9.00,Widowed,?,Not-in-family,White,Female,40.00,<=50K
82.00,Private,HS-grad,9.00,Widowed,Exec-managerial,Not-in-family,White,Female,18.00,<=50K
66.00,?,Some-college,10.00,Widowed,?,Unmarried,Black,Female,40.00,<=50K
54.00,Private,7th-8th,4.00,Divorced,Machine-op-inspct,Unmarried,White,Female,40.00,<=50K
41.00,Private,Some-college,10.00,Separated,Prof-specialty,Own-child,White,Female,40.00,<=50K
34.00,Private,HS-grad,9.00,Divorced,Other-service,Unmarried,White,Female,45.00,<=50K
38.00,Private,10th,6.00,Separated,Adm-clerical,Unmarried,White,Male,40.00,<=50K
74.00,State-gov,Doctorate,16.00,Never-married,Prof-specialty,Other-relative,White,Female,20.00,>50K
68.00,Federal-gov,HS-grad,9.00,Divorced,Prof-specialty,Not-in-family,White,Female,40.00,<=50K
41.00,Private,Some-college,10.00,Never-married,Craft-repair,Unmarried,White,Male,60.00,>50K
45.00,Private,Doctorate,16.00,Divorced,Prof-specialty,Unmarried,Black,Female,35.00,>50K
38.00,Self-emp-not-inc,Prof-school,15.00,Never-married,Prof-specialty,Not-in-family,White,Male,45.00,>50K
52.00,Private,Bachelors,13.00,Widowed,Other-service,Not-in-family,White,Female,20.00,>50K
32.00,Private,Masters,14.00,Separated,Exec-managerial,Not-in-family,White,Male,55.00,>50K
51.00,?,Doctorate,16.00,Never-married,?,Not-in-family,White,Male,40.00,>50K
46.00,Private,Prof-school,15.00,Divorced,Prof-specialty,Not-in-family,White,Male,40.00,>50K
45.00,Private,11th,7.00,Divorced,Transport-moving,Not-in-family,White,Male,76.00,>50K
57.00,Private,Masters,14.00,Divorced,Exec-managerial,Not-in-family,White,Male,50.00,>50K
22.00,Private,Assoc-acdm,12.00,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40.00,>50K
34.00,Private,Bachelors,13.00,Separated,Sales,Not-in-family,White,Male,50.00,>50K
37.00,Private,Bachelors,13.00,Never-married,Exec-managerial,Not-in-family,White,Male,40.00,>50K
29.00,Private,11th,7.00,Separated,Sales,Not-in-family,White,Female,42.00,<=50K
61.00,Private,HS-grad,9.00,Divorced,Sales,Unmarried,White,Female,25.00,<=50K
51.00,Private,Some-college,10.00,Married-civ-spouse,Transport-moving,Husband,White,Male,40.00,<=50K
61.00,?,HS-grad,9.00,Married-civ-spouse,?,Husband,White,Male,32.00,<=50K
21.00,Private,Assoc-voc,11.00,Married-civ-spouse,Craft-repair,Husband,White,Male,40.00,<=50K
33.00,Private,1st-4th,2.00,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32.00,<=50K
49.00,Private,5th-6th,3.00,Married-civ-spouse,Other-service,Husband,White,Male,40.00,<=50K
37.00,Self-emp-inc,10th,6.00,Never-married,Transport-moving,Not-in-family,White,Male,50.00,>50K
38.00,Private,10th,6.00,Never-married,Prof-specialty,Not-in-family,White,Male,90.00,>50K
23.00,Private,Some-college,10.00,Separated,Other-service,Not-in-family,White,Male,40.00,>50K
59.00,Self-emp-inc,10th,6.00,Widowed,Exec-managerial,Unmarried,White,Female,50.00,>50K
